en,fr,it,de,es,ko,kana
,Pokémon Coupant,Pokémon Lamaffilata,Stahlklingen-Pokémon,Pokémon Tajo,날붙이포켓몬,はものポケモン
,Pokémon Tranchant,Pokémon Fildilama,Schwertklingen-Pokémon,Pokémon Filo,도인포켓몬,とうじんポケモン
,Pokémon Coup d’Bœuf,Pokémon Sfondatoro,Kopfstoßrind-Pokémon,Pokémon Torocabezazo,박치기소포켓몬,ずつきうしポケモン
,Pokémon Aiglon,Pokémon Aquilotto,Adlerküken-Pokémon,Pokémon Aguilucho,새끼독수리포켓몬,ヒナわしポケモン
,Pokémon Vaillant,Pokémon Baldanza,Kühnheits-Pokémon,Pokémon Aguerrido,용맹포켓몬,ゆうもうポケモン
,Pokémon Couche,Pokémon Pannolino,Windel-Pokémon,Pokémon Pañal,기저귀포켓몬,おむつポケモン
,Pokémon Vostour,Pokémon Ossaquila,Knochenadler-Pokémon,Pokémon Buitre Hueso,뼈독수리포켓몬,ほねわしポケモン
,Pokémon Tamanoir,Pokémon Formichiere,Ameisenbären-Pokémon,Pokémon Hormiguero,개미핥기포켓몬,アリクイポケモン
,Pokémon Fourmi Dure,Pokémon Ferformica,Eisenameisen-Pokémon,Pokémon Hormigacero,철개미포켓몬,てつアリポケモン
,Pokémon Rude,Pokémon Impeto,Haudrauf-Pokémon,Pokémon Tosco,폭거포켓몬,そぼうポケモン
,Pokémon Violent,Pokémon Irruenza,Grobheits-Pokémon,Pokémon Violento,흉포포켓몬,らんぼうポケモン
,Pokémon Brutal,Pokémon Brutale,Brutal-Pokémon,Pokémon Voraz,난폭포켓몬,きょうぼうポケモン
,Pokémon Torche,Pokémon Torcia,Fackel-Pokémon,Pokémon Antorcha,횃불포켓몬,たいまつポケモン
,Pokémon Soleil,Pokémon Sole,Sonnen-Pokémon,Pokémon Sol,태양포켓몬,たいようポケモン
,Pokémon Cœur de Fer,Pokémon Metalcuore,Eisenkern-Pokémon,Pokémon Tesón Acero,철심포켓몬,てっしんポケモン
,Pokémon Grotte,Pokémon Caverna,Felsenhöhlen-Pokémon,Pokémon Gruta,암굴포켓몬,がんくつポケモン
,Pokémon Plaine Verte,Pokémon Prateria,Wiesen-Pokémon,Pokémon Prado,초원포켓몬,そうげんポケモン
,Pokémon Tornade,Pokémon Turbinio,Wirbelsturm-Pokémon,Pokémon Torbellino,선풍포켓몬,せんぷうポケモン
,Pokémon Foudroyeur,Pokémon Fulminante,Torpedo-Pokémon,Pokémon Centella,뇌격포켓몬,らいげきポケモン
,Pokémon Blanc Réel,Pokémon Bianco Verità,Wahres Weiß-Pokémon,Pokémon Blanco Veraz,백양포켓몬,はくようポケモン
,Pokémon Noir Idéal,Pokémon Nero Ideale,Reines Schwarz-Pokémon,Pokémon Negro Puro,흑음포켓몬,こくいんポケモン
,Pokémon Fertilité,Pokémon Fertilità,Reichtums-Pokémon,Pokémon Fertilidad,풍요포켓몬,ほうじょうポケモン
,Pokémon Frontière,Pokémon Confine,Schwellen-Pokémon,Pokémon Frontera,경계포켓몬,きょうかいポケモン
,Pokémon Poulain,Pokémon Puledro,Fohlen-Pokémon,Pokémon Potro,망아지포켓몬,わかごまポケモン
,Pokémon Mélodie,Pokémon Melodia,Melodie,Pokémon Melodía,선율포켓몬,せんりつポケモン
,Pokémon Paléozoïque,Pokémon Paleozoico,Paläozoikums-Pokémon,Pokémon Paleozoico,고생대포켓몬,こせいだいポケモン
,Pokémon Bogue,Pokémon Castanriccio,Stachelkopf,Pokémon Erizo,밤송이포켓몬,いがぐりポケモン
,Pokémon Épinarmure,Pokémon Spincorazza,Spitzpanzer,Pokémon Corazaespín,가시갑옷포켓몬,とげよろいポケモン
Spiny Armor Stockmonster,Pokémon Épinarmure,Pokémon Spincorazza,Spitzpanzer,Pokémon Corazaespín,가시갑옷포켓몬,とげよろいポケモン
,Pokémon Renard,Pokémon Volpe,Fuchs,Pokémon Zorro,여우포켓몬,キツネポケモン
,Pokémon Renard,Pokémon Volpe,Fuchs,Pokémon Zorro,여우포켓몬,キツネポケモン
,Pokémon Renard,Pokémon Volpe,Fuchs,Pokémon Zorro,여우포켓몬,キツネポケモン
Innocent Stockmonster,Pokémon Crapobulle,Pokémon Schiumorana,Blubbfrosch,Pokémon Burburrana,거품개구리포켓몬,あわがえるポケモン
,Pokémon Crapobulle,Pokémon Schiumorana,Blubbfrosch,Pokémon Burburrana,거품개구리포켓몬,あわがえるポケモン
,Pokémon Ninja,Pokémon Ninja,Ninja,Pokémon Ninja,시노비포켓몬,しのびポケモン
,Pokémon Fouisseur,Pokémon Scavabuche,Baugräber-Pokémon,Pokémon Excavador,땅구멍파기포켓몬,あなほりポケモン
Inscribed Stockmonster,Pokémon Fouisseur,Pokémon Scavabuche,Baugräber-Pokémon,Pokémon Excavador,땅구멍파기포켓몬,あなほりポケモン
,Pokémon Rougegorge,Pokémon Pettirosso,Rotkehlchen-Pokémon,Pokémon Petirrojo,울새포켓몬,コマドリポケモン
Ember Stockmonster,Pokémon Braise,Pokémon Sfavillante,Funkenregen-Pokémon,Pokémon Lumbre,불티포켓몬,ひのこポケモン
Scorching Stockmonster,Pokémon Fournaise,Pokémon Ardifiamma,Stichflammen-Pokémon,Pokémon Flamígero,열화포켓몬,れっかポケモン
,Pokémon Exhalécaille,Pokémon Tirascaglie,Puderinsekt,Pokémon Tiraescamas,가루뿜기포켓몬,こなふきポケモン
,Pokémon Exhalécaille,Pokémon Tirascaglie,Puderinsekt,Pokémon Tiraescamas,가루뿜기포켓몬,こなふきポケモン
,Pokémon Lépidécaille,Pokémon Farfascaglia,Flügelstaub,Pokémon Escamaposa,인분포켓몬,りんぷんポケモン
,Pokémon Lionceau,Pokémon Leoncino,Junglöwe,Pokémon Leoncito,어린사자포켓몬,わかじしポケモン
,Pokémon Royal,Pokémon Reale,Monarch,Pokémon Regio,임금포켓몬,おうじゃポケモン
,Pokémon Uniflore,Pokémon Monofiore,Einblütler,Pokémon Monoflor,한송이포켓몬,いちりんポケモン
,Pokémon Uniflore,Pokémon Monofiore,Einblütler,Pokémon Monoflor,한송이포켓몬,いちりんポケモン
,Pokémon Jardin,Pokémon Giardino,Garten,Pokémon Jardín,가든포켓몬,ガーデンポケモン
Oracle Stockmonster,Pokémon Monture,Pokémon Cavalcatura,Ritt,Pokémon Montura,라이드포켓몬,ライドポケモン
Mount Stockmonster,Pokémon Monture,Pokémon Cavalcatura,Ritt,Pokémon Montura,라이드포켓몬,ライドポケモン
Power-Up Stockmonster,Pokémon Garnement,Pokémon Briccone,Verspielt-Pokémon,Pokémon Juguetón,개구쟁이포켓몬,やんちゃポケモン
Tribute Stockmonster,Pokémon Patibulaire,Pokémon Occhiotruce,Gaunerblick-Pokémon,Pokémon Rostro Fiero,무서운얼굴포켓몬,こわもてポケモン
Groomed Stockmonster,Pokémon Caniche,Pokémon Barboncino,Pudel,Pokémon Caniche,푸들포켓몬,プードルポケモン
Mascot Stockmonster,Pokémon Retenue,Pokémon Moderazione,Zügelungs-Pokémon,Pokémon Moderación,자제포켓몬,じせいポケモン
Backpack Stockmonster,Pokémon SelfContrôle,Pokémon Temperanza,Fassungs-Pokémon,Pokémon Autocontrol,억제포켓몬,よくせいポケモン
,Pokémon Glaive,Pokémon Armabianca,Klingenkraft-Pokémon,Pokémon Tizona,도검포켓몬,とうけんポケモン
,Pokémon Glaive,Pokémon Armabianca,Klingenkraft-Pokémon,Pokémon Tizona,도검포켓몬,とうけんポケモン
,Pokémon Noble Lame,Pokémon Spadareale,Königsklingen-Pokémon,Pokémon Espada Real,왕검포켓몬,おうけんポケモン
,Pokémon Fragrance,Pokémon Profumo,Parfüm-Pokémon,Pokémon Aroma,향수포켓몬,こうすいポケモン
,Pokémon Parfum,Pokémon Fragranza,Duft-Pokémon,Pokémon Fragancia,방향포켓몬,ほうこうポケモン
,Pokémon Confiserie,Pokémon Zuccherino,Zuckerwatte-Pokémon,Pokémon Chuchería,솜사탕포켓몬,わたあめポケモン
,Pokémon Mousseline,Pokémon Panna,Schlagsahne-Pokémon,Pokémon Nata,휩포켓몬,ホイップポケモン
,Pokémon Rotation,Pokémon Volteggio,Rotations-Pokémon,Pokémon Rotación,회전포켓몬,かいてんポケモン
,Pokémon Révolution,Pokémon Giravolta,Inversions-Pokémon,Pokémon Revolución,역전포켓몬,ぎゃくてんポケモン
Two-Handed Stockmonster,Pokémon Bimane,Pokémon Bimano,Krallenduo-Pokémon,Pokémon Dos Manos,두손포켓몬,ふたてポケモン
,Pokémon Assemblage,Pokémon Aggregato,Ballungs-Pokémon,Pokémon Combinación,집합포켓몬,しゅうごうポケモン
,Pokémon Simulalgue,Pokémon Similalga,Tangmimikry-Pokémon,Pokémon Pseudoalga,풀모방포켓몬,クサモドキポケモン
,Pokémon Simulalgue,Pokémon Similalga,Tangmimikry-Pokémon,Pokémon Pseudoalga,풀모방포켓몬,クサモドキポケモン
,Pokémon Lance à Eau,Pokémon Zampillo,Aquapistolen-Pokémon,Pokémon Proyectagua,물대포포켓몬,みずでっぽうポケモン
,Pokémon Blaster,Pokémon Acqualancio,Aquawummen-Pokémon,Pokémon Lanzachorro,런처포켓몬,ランチャーポケモン
Generator Stockmonster,Pokémon Générateur,Pokémon Generatore,Generatoren-Pokémon,Pokémon Generador,발전포켓몬,はつでんポケモン
,Pokémon Générateur,Pokémon Generatore,Generatoren-Pokémon,Pokémon Generador,발전포켓몬,はつでんポケモン
,Pokémon Prince,Pokémon Principino,Kronprinz-Pokémon,Pokémon Heredero,유군포켓몬,ようくんポケモン
,Pokémon Tyran,Pokémon Tiranno,Tyrannen-Pokémon,Pokémon Tirano,폭군포켓몬,ぼうくんポケモン
,Pokémon Toundra,Pokémon Tundra,Tundra-Pokémon,Pokémon Tundra,툰드라포켓몬,ツンドラポケモン
,Pokémon Toundra,Pokémon Tundra,Tundra-Pokémon,Pokémon Tundra,툰드라포켓몬,ツンドラポケモン
,Pokémon Attachant,Pokémon Legame,Bindungs-Pokémon,Pokémon Vínculo,연결포켓몬,むすびつきポケモン
,Pokémon Catcheur,Pokémon Lottalibera,Wrestling-Pokémon,Pokémon Lucha Libre,레슬링포켓몬,レスリングポケモン
,Pokémon Antenne,Pokémon Antenna,Antennen-Pokémon,Pokémon Antenas,안테나포켓몬,アンテナポケモン
,Pokémon Joyau,Pokémon Gemma,Edelstein-Pokémon,Pokémon Joya,보석포켓몬,ほうせきポケモン
Soft Tissue Stockmonster,Pokémon Mollusque,Pokémon Mollusco,Schneckedei-Pokémon,Pokémon Molusco,연체포켓몬,なんたいポケモン
,Pokémon Mollusque,Pokémon Mollusco,Schneckedei-Pokémon,Pokémon Molusco,연체포켓몬,なんたいポケモン
Dragon Stockmonster,Pokémon Dragon,Pokémon Drago,Drachen-Pokémon,Pokémon Dragón,드래곤포켓몬,ドラゴンポケモン
,Pokémon Trousseau,Pokémon Portachiavi,Schlüssel-Pokémon,Pokémon Llavero,열쇠꾸러미포켓몬,かぎたばポケモン
,Pokémon Souche,Pokémon Ceppo,Baumstumpf-Pokémon,Pokémon Tocón,그루터기포켓몬,きりかぶポケモン
,Pokémon Vieillarbre,Pokémon Alberantico,Urgehölz-Pokémon,Pokémon Árbol Viejo,고목포켓몬,ろうぼくポケモン
,Pokémon Citrouille,Pokémon Zucca,Kürbis-Pokémon,Pokémon Calabaza,호박포켓몬,かぼちゃポケモン
,Pokémon Citrouille,Pokémon Zucca,Kürbis-Pokémon,Pokémon Calabaza,호박포켓몬,かぼちゃポケモン
Ice Chunk Stockmonster,Pokémon Glaçon,Pokémon Ghiacciolo,Eisklumpen-Pokémon,Pokémon Témpano,얼음덩이포켓몬,ひょうかいポケモン
,Pokémon Iceberg,Pokémon Iceberg,Eisberg-Pokémon,Pokémon Iceberg,빙산포켓몬,ひょうざんポケモン
Sound Wave Stockmonster,Pokémon Ondes,Pokémon Ondasonora,Schallwellen-Pokémon,Pokémon Onda Sónica,음파포켓몬,おんぱポケモン
,Pokémon Ondes,Pokémon Ondasonora,Schallwellen-Pokémon,Pokémon Onda Sónica,음파포켓몬,おんぱポケモン
,Pokémon Existence,Pokémon Creazione,Lebens-Pokémon,Pokémon Creación,생명포켓몬,せいめいポケモン
,Pokémon Annihilation,Pokémon Distruzione,Zerstörungs-Pokémon,Pokémon Destrucción,파괴포켓몬,はかいポケモン
,Pokémon Équilibre,Pokémon Equilibrio,Ordnungs-Pokémon,Pokémon Equilibrio,질서포켓몬,ちつじょポケモン
,Pokémon Joyau,Pokémon Gemma,Edelstein-Pokémon,Pokémon Joya,보석포켓몬,ほうせきポケモン
,Pokémon Chenapan,Pokémon Birba,Schabernack,Pokémon Travesura,장난포켓몬,いたずらポケモン
,Pokémon Vapeur,Pokémon Vapore,Dampf-Pokémon,Pokémon Vapor,스팀포켓몬,スチームポケモン
,Pokémon Plumefeuille,Pokémon Aliderba,Laubflügel-Pokémon,Pokémon Pluma Hoja,풀깃포켓몬,くさばねポケモン
,Pokémon Plum’acérée,Pokémon Piumaffilata,Flügelklingen-Pokémon,Pokémon Pluma Filo,칼날깃포켓몬,はばねポケモン
,Pokémon Plumeflèche,Pokémon Alifreccia,Pfeilflügel-Pokémon,Pokémon Pluma Flecha,화살깃포켓몬,やばねポケモン
Keystroke Stockmonster,Pokémon Chat Feu,Pokémon Pirofelino,Feuerkatzen-Pokémon,Pokémon Gato Fuego,불고양이포켓몬,ひねこポケモン
Folded-Ear Stockmonster,Pokémon Chat Feu,Pokémon Pirofelino,Feuerkatzen-Pokémon,Pokémon Gato Fuego,불고양이포켓몬,ひねこポケモン
Heel Stockmonster,Pokémon Vil Catcheur,Pokémon Colpibassi,Fieslings-Pokémon,Pokémon Rudo,힐포켓몬,ヒールポケモン
,Pokémon Otarie,Pokémon Otaria,Seehund-Pokémon,Pokémon León Marino,강치포켓몬,あしかポケモン
,Pokémon Starlette,Pokémon Pop Star,Popsternchen-Pokémon,Pokémon Fama,아이돌포켓몬,アイドルポケモン
Soloist Stockmonster,Pokémon Soliste,Pokémon Solista,Solisten-Pokémon,Pokémon Solista,솔리스트포켓몬,ソリストポケモン
,Pokémon Pivert,Pokémon Picchio,Specht,Pokémon Carpintero,딱따구리포켓몬,きつつきポケモン
,Pokémon Bec Clairon,Pokémon Trombecco,Trompete,Pokémon Trompeta,나팔입포켓몬,ラッパぐちポケモン
,Pokémon Canon,Pokémon Cannone,Kanone,Pokémon Cañón,대포포켓몬,おおづつポケモン
Loitering Stockmonster,Pokémon Patrouille,Pokémon Pattuglia,Patrouille,Pokémon Patrulla,순회포켓몬,うろつきポケモン
,Pokémon Filature,Pokémon Sorveglianza,Beschattung,Pokémon Vigilante,잠복포켓몬,はりこみポケモン
,Pokémon Larve,Pokémon Coleolarva,Larven-Pokémon,Pokémon Pupa,유충포켓몬,ようちゅうポケモン
,Pokémon Batterie,Pokémon Batteria,Batterie-Pokémon,Pokémon Batería,배터리포켓몬,バッテリーポケモン
,Pokémon Scarabée,Pokémon Cervolante,Kneifkäfer-Pokémon,Pokémon Escarabajo,뿔집게포켓몬,くわがたポケモン
,Pokémon Boxeur,Pokémon Pugile,Boxkampf,Pokémon Púgil,권투포켓몬,けんとうポケモン
Woolly Crab Stockmonster,Pokémon Crabe Velu,Pokémon Peligranchio,Fellkrabbe,Pokémon Cangrejopelo,털게포켓몬,けがにポケモン
,Pokémon Danse,Pokémon Danza,Tanz,Pokémon Danza,댄스포켓몬,ダンスポケモン
Bee Fly Stockmonster,Pokémon Bombyle,Pokémon Bombilide,Hummelfliegen-Pokémon,Pokémon Mosca Abeja,재니등에포켓몬,ツリアブポケモン
Bee Fly Stockmonster,Pokémon Bombyle,Pokémon Bombilide,Hummelfliegen-Pokémon,Pokémon Mosca Abeja,재니등에포켓몬,ツリアブポケモン
Puppy Stockmonster,Pokémon Chiot,Pokémon Cagnolino,Welpen-Pokémon,Pokémon Perrito,강아지포켓몬,こいぬポケモン
Viking Stockmonster,Pokémon Loup,Pokémon Lupo,Wolfs-Pokémon,Pokémon Lobo,늑대포켓몬,オオカミポケモン
Small Fry Stockmonster,Pokémon Minipoisson,Pokémon Pesciolino,Kleinfisch-Pokémon,Pokémon Pececillo,잔물고기포켓몬,こざかなポケモン
,Pokémon Cruel,Pokémon Stellatroce,Quäl-Stern-Pokémon,Pokémon Estrellatroz,깨비사리포켓몬,ヒトデナシポケモン
,Pokémon Cruel,Pokémon Stellatroce,Quäl-Stern-Pokémon,Pokémon Estrellatroz,깨비사리포켓몬,ヒトデナシポケモン
Donkey Stockmonster,Pokémon Âne,Pokémon Ciuconiglio,Packesel-Pokémon,Pokémon Asno,당나귀포켓몬,うさぎうまポケモン
Draft Horse Stockmonster,Pokémon Cheval Trait,Pokémon Fortequino,Zugpferd-Pokémon,Pokémon Caballo Tiro,만마포켓몬,ばんばポケモン
Water Bubble Stockmonster,Pokémon Aquabulle,Pokémon Bolladacqua,Wasserblasen-Pokémon,Pokémon Pompa,수포포켓몬,すいほうポケモン
,Pokémon Aquabulle,Pokémon Bolladacqua,Wasserblasen-Pokémon,Pokémon Pompa,수포포켓몬,すいほうポケモン
,Pokémon Fauch’Herbe,Pokémon Mantiderba,Grassichel-Pokémon,Pokémon Filo Hoja,풀사마귀포켓몬,かまくさポケモン
,Pokémon Fauch’Fleur,Pokémon Mantifiore,Blumensichel-Pokémon,Pokémon Filo Flor,꽃사마귀포켓몬,はなかまポケモン
Illuminating Stockmonster,Pokémon Luminescent,Pokémon Luminescenza,Lumineszenz-Pokémon,Pokémon Luminiscente,발광포켓몬,はっこうポケモン
Illuminating Stockmonster,Pokémon Luminescent,Pokémon Luminescenza,Lumineszenz-Pokémon,Pokémon Luminiscente,발광포켓몬,はっこうポケモン
Toxic Lizard Stockmonster,Pokémon Toxilézard,Pokémon Lucertossina,Giftechsen-Pokémon,Pokémon Lagartoxina,독도마뱀포켓몬,どくトカゲポケモン
,Pokémon Toxilézard,Pokémon Lucertossina,Giftechsen-Pokémon,Pokémon Lagartoxina,독도마뱀포켓몬,どくトカゲポケモン
Chill Stockmonster,Pokémon Gigoteur,Pokémon Bizzoso,Wildfang-Pokémon,Pokémon Rabieta,바둥바둥포켓몬,じたばたポケモン
Bearish Stockmonster,Pokémon Biscoteaux,Pokémon Fortebraccio,Kraftarme-Pokémon,Pokémon Brazo Fuerte,강한완력포켓몬,ごうわんポケモン
,Pokémon Fruit,Pokémon Frutto,Obst-Pokémon,Pokémon Fruto,후르츠포켓몬,フルーツポケモン
,Pokémon Fruit,Pokémon Frutto,Obst-Pokémon,Pokémon Fruto,후르츠포켓몬,フルーツポケモン
,Pokémon Fruit,Pokémon Frutto,Obst-Pokémon,Pokémon Fruto,후르츠포켓몬,フルーツポケモン
,Pokémon Tressefleur,Pokémon Ghirlanda,Blumenkranz-Pokémon,Pokémon Recogeflores,꽃따기포켓몬,はなつみポケモン
Bookkeeper Stockmonster,Pokémon Grand Sage,Pokémon Saggio,Weisheits-Pokémon,Pokémon Sabio,현자포켓몬,けんじゃポケモン
Mischief Stockmonster,Pokémon Coopération,Pokémon Giocosquadra,Teamwork-Pokémon,Pokémon Cooperación,연계포켓몬,れんけいポケモン
,Pokémon Cavaleur,Pokémon Lestopode,Laufschritt-Pokémon,Pokémon Huidizo,주행포켓몬,そうこうポケモン
,Pokémon Blindé,Pokémon Blindato,Rüstungs-Pokémon,Pokémon Blindaje,장갑포켓몬,そうこうポケモン
Sand Heap Stockmonster,Pokémon Pâtéd’Sable,Pokémon Montesabbia,Sandhaufen-Pokémon,Pokémon Montearena,모래산포켓몬,すなやまポケモン
,Pokémon Châtod’Sable,Pokémon Castelsabbia,Sandschloss-Pokémon,Pokémon Castiarena,모래성포켓몬,すなのしろポケモン
,Pokémon Holothurie,Pokémon Oloturia,Seegurken-Pokémon,Pokémon Pepino Mar,해삼포켓몬,なまこポケモン
,Pokémon Multigénome,Pokémon Multigene,Modifikations-Pokémon,Pokémon Multigénico,인공포켓몬,じんこうポケモン
,Pokémon Multigénome,Pokémon Multigene,Modifikations-Pokémon,Pokémon Multigénico,인공포켓몬,じんこうポケモン
,Pokémon Météore,Pokémon Meteora,Meteor,Pokémon Meteoro,유성포켓몬,ながれぼしポケモン
,Pokémon Rêveur,Pokémon Dormiveglia,Halbschlaf,Pokémon Duermevela,꿈결포켓몬,ゆめうつつポケモン
Blast Turtle Stockmonster,Pokémon Tortue Boum,Pokémon Tartabomba,Knallkröten-Pokémon,Pokémon Tortugabomba,폭발거북포켓몬,ばくはつがめポケモン
,Pokémon Roulenboule,Pokémon Ricciopalla,Einigler-Pokémon,Pokémon Bolita,동글동글포켓몬,まるまりポケモン
,Pokémon Fantômasque,Pokémon Fantasmanto,Kostümspuk-Pokémon,Pokémon Disfraz,탈포켓몬,ばけのかわポケモン
,Pokémon Grincedent,Pokémon Sfregadenti,Knirschzahn,Pokémon Rechinante,이갈기포켓몬,はぎしりポケモン
,Pokémon Nonchalant,Pokémon Tuttacalma,Gelassenheits-Pokémon,Pokémon Sosiego,느긋누긋포켓몬,ゆうゆうポケモン
Sea Creeper Stockmonster,Pokémon Varech,Pokémon Brandellalga,Seetang-Pokémon,Pokémon Alga Ancla,해초조각포켓몬,もくずポケモン
,Pokémon Écailles,Pokémon Squama,Schuppentier-Pokémon,Pokémon Escamas,비늘포켓몬,うろこポケモン
,Pokémon Écailles,Pokémon Squama,Schuppentier-Pokémon,Pokémon Escamas,비늘포켓몬,うろこポケモン
,Pokémon Écailles,Pokémon Squama,Schuppentier-Pokémon,Pokémon Escamas,비늘포켓몬,うろこポケモン
,Pokémon Tutélaire,Pokémon Nume Locale,Schutzpatron-Pokémon,Pokémon Dios Nativo,토속신포켓몬,とちがみポケモン
,Pokémon Tutélaire,Pokémon Nume Locale,Schutzpatron-Pokémon,Pokémon Dios Nativo,토속신포켓몬,とちがみポケモン
,Pokémon Tutélaire,Pokémon Nume Locale,Schutzpatron-Pokémon,Pokémon Dios Nativo,토속신포켓몬,とちがみポケモン
,Pokémon Tutélaire,Pokémon Nume Locale,Schutzpatron-Pokémon,Pokémon Dios Nativo,토속신포켓몬,とちがみポケモン
,Pokémon Nébuleuse,Pokémon Nebulosa,Nebula-Pokémon,Pokémon Nebulosa,성운포켓몬,せいうんポケモン
,Pokémon Proto-Étoile,Pokémon Protostella,Urgestirns-Pokémon,Pokémon Protostrella,원시성포켓몬,げんしせいポケモン
,Pokémon Halo Solaire,Pokémon Solare,Sonnenkreis-Pokémon,Pokémon Corona Solar,일륜포켓몬,にちりんポケモン
,Pokémon Halo Lunaire,Pokémon Lunare,Mondscheiben-Pokémon,Pokémon Corona Lunar,월륜포켓몬,がちりんポケモン
,Pokémon Parasite,Pokémon Parassita,Parasiten-Pokémon,Pokémon Parásito,기생포켓몬,きせいポケモン
,Pokémon Enflé,Pokémon Gonfiacorpo,Ausdehnungs-Pokémon,Pokémon Hinchado,팽창포켓몬,ぼうちょうポケモン
,Pokémon Gracile,Pokémon Leggiadria,Eleganz-Pokémon,Pokémon Elegancia,염미포켓몬,えんびポケモン
,Pokémon Luminaire,Pokémon Luminaria,Illuminations-Pokémon,Pokémon Luminaria,전기장식포켓몬,でんしょくポケモン
,Pokémon Décollage,Pokémon Decollo,Raketenstart-Pokémon,Pokémon Lanzamiento,쏴올리기포켓몬,うちあげポケモン
,Pokémon Battô,Pokémon Spadatratta,Schwertkunst-Pokémon,Pokémon Desenvaine,발도포켓몬,ばっとうポケモン
,Pokémon Bizarrovore,Pokémon Divoratutto,Gaumenfolter-Pokémon,Pokémon Tragaldabas,악식성포켓몬,あくじきポケモン
,Pokémon Prisme,Pokémon Prisma,Prisma-Pokémon,Pokémon Prisma,프리즘포켓몬,プリズムポケモン
,Pokémon Artificiel,Pokémon Artificiale,Fabrikats-Pokémon,Pokémon Artificial,인조포켓몬,じんぞうポケモン
,Pokémon Ombrefuge,Pokémon Vivinombra,Dunkelwesen-Pokémon,Pokémon Morasombra,그림자살이포켓몬,かげすみポケモン
,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno,독침포켓몬,どくばりポケモン
,Pokémon Vénépic,Pokémon Velenago,Giftdorn-Pokémon,Pokémon Pin Veneno,독침포켓몬,どくばりポケモン
,Pokémon Muraille,Pokémon Bastione,Steinmauer-Pokémon,Pokémon Muro,돌담포켓몬,いしがきポケモン
,Pokémon Artificier,Pokémon Pirotecnico,Feuerwerks-Pokémon,Pokémon Pirotecnia,불꽃놀이포켓몬,はなびポケモン
,Pokémon Vif Éclair,Pokémon Fulmirapido,Blitzsturm-Pokémon,Pokémon Fulgor,신뢰포켓몬,じんらいポケモン
